Date : 2022-02-16 10:09:26
Directory : c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking
Total : 114 files,  23013 codes, 234 comments, 703 blanks, all 23950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontSizeIcon.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontWeightIcon.svg                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\keyword.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\keyword2.svg                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\lineHeighIcon.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\map.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\map2.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\maximizeIcon.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\maximizeIcon2.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\minimizeIcon.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\otherSettingIcon.svg                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paperColorIcon.svg                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paperSizeIcon.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paraFocusIcon.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paragraphIcon.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\plot.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\plot2.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\segSpacingIcon.svg                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\softThemeIcon.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\templateicon.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\textIndentIcon.svg                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline.svg                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline2.svg                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\trashcan.svg                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\writtenwords.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\index.ts                            | TypeScript         |         51 |          5 |          1 |         57 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\syntax.ts                           | TypeScript         |         39 |          4 |          4 |         47 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\BigworldContent.vue                    | vue                |          8 |          1 |          3 |         12 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\BookDetail.vue                         | vue                |      1,133 |          6 |         23 |      1,162 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\DiagramEditor.vue                      | vue                |        219 |          1 |         11 |        231 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\HomeContent.vue                        | vue                |        358 |          1 |         17 |        376 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\KeywordEditor.vue                      | vue                |      1,743 |          3 |         26 |      1,772 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\LabelTop.vue                           | vue                |         48 |          2 |          4 |         54 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\MapEditor.vue                          | vue                |          7 |          1 |          3 |         11 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\PlotEditor.vue                         | vue                |          7 |          1 |          3 |         11 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\ReadingContent.vue                     | vue                |          8 |          1 |          3 |         12 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\RecycleContent.vue                     | vue                |        234 |          3 |          8 |        245 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\SidebarLeft.vue                        | vue                |        154 |          1 |          5 |        160 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TimelineEditor.vue                     | vue                |        546 |          1 |         13 |        560 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TitleBlock.vue                         | vue                |        158 |          1 |          8 |        167 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\WritingPaper.vue                       | vue                |        378 |          4 |         23 |        405 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\FloatBox.vue                    | vue                |         35 |          2 |          4 |         41 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\HistoryBtn.vue                  | vue                |         36 |          0 |          5 |         41 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\MultipleBar.vue                 | vue                |        111 |          1 |          8 |        120 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\SpecialeditorTop.vue            | vue                |         38 |          0 |          5 |         43 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\Toolbar.vue                     | vue                |        283 |          2 |         12 |        297 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\db\db.md                                          | Markdown           |         95 |          0 |         23 |        118 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\db\db.ts                                          | TypeScript         |         32 |          4 |          5 |         41 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\env.d.ts                                          | TypeScript         |        102 |         19 |          7 |        128 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\main.ts                                           | TypeScript         |          9 |          3 |          4 |         16 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\router\index.ts                                   | TypeScript         |         41 |          0 |          4 |         45 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\KeywordEditor.scss                          | SCSS               |        509 |          1 |         81 |        591 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bigworldcontent.scss                        | SCSS               |         10 |          0 |          0 |         10 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bookdetail.scss                             | SCSS               |        477 |         22 |         81 |        580 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\diagramEditor.scss                          | SCSS               |         24 |          0 |          2 |         26 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\fine-tune-timeLine.scss                     | SCSS               |         23 |          0 |          2 |         25 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\floatBox.scss                               | SCSS               |         49 |          1 |          5 |         55 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\global.scss                                 | SCSS               |         50 |          5 |         11 |         66 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\homecontent.scss                            | SCSS               |        264 |          1 |         36 |        301 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\labeltop.scss                               | SCSS               |         43 |          0 |          7 |         50 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\multipleBar.scss                            | SCSS               |         21 |          0 |          3 |         24 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\readingcontent.scss                         | SCSS               |         10 |          0 |          0 |         10 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\recyclecontent.scss                         | SCSS               |         55 |          0 |          7 |         62 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\sidebarleft.scss                            | SCSS               |         96 |          0 |         13 |        109 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\specialeditorTop.scss                       | SCSS               |         21 |          0 |          3 |         24 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\toolbar.scss                                | SCSS               |        103 |          1 |         15 |        119 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\writerPage.scss                             | SCSS               |        209 |          3 |         40 |        252 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\flowControl.ts                              | TypeScript         |         12 |         20 |          3 |         35 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\getStyle.ts                                 | TypeScript         |          4 |          5 |          0 |          9 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\hexToRgba.ts                                | TypeScript         |         14 |          3 |          0 |         17 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\randomNum.ts                                | TypeScript         |         10 |          3 |          0 |         13 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\showTimePipe.ts                             | TypeScript         |         82 |          5 |          4 |         91 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\timeFormat.ts                               | TypeScript         |         13 |          3 |          2 |         18 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\useCurrentInstance.ts                       | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\bigworldPage.vue                            | vue                |         13 |          0 |          3 |         16 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\detailPage.vue                              | vue                |         14 |          1 |          3 |         18 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\homePage.vue                                | vue                |         21 |          1 |          4 |         26 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\readingPage.vue                             | vue                |         13 |          0 |          3 |         16 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\recyclePage.vue                             | vue                |         13 |          0 |          3 |         16 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\specialeditorPage.vue                       | vue                |         85 |          0 |         11 |         96 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\writerPage.vue                              | vue                |      1,094 |          7 |         31 |      1,132 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\tsconfig.json                                         | JSON with Comments |         15 |          0 |          1 |         16 |
| c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\vite.config.ts                                        | TypeScript         |         13 |         11 |          2 |         26 |
| Total                                                                                                                                |                    |     23,013 |        234 |        703 |     23,950 |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
